#Incident energy 	 
#Incident energy 	 
#Incident energy 	 σ(E)
#1E-05	0
4579700	0.15432
4581000	0.13282
4582200	0.11753
4584700	0.10713
4587100	0.11165
4588400	0.11681
4589600	0.12196
4592100	0.13074
4594500	0.13025
4597000	0.11719
4599400	0.096489
4601900	0.075701
4604400	0.058855
4606800	0.046494
4609300	0.038649
4611700	0.033144
4614200	0.029302
4616700	0.026633
4619100	0.024797
4625300	0.022495
4631400	0.022064
4637600	0.022636
4656000	0.024419
4680600	0.026315
4729800	0.035342
4779000	0.034695
4803700	0.033172
4818700	0.032214
4828300	0.031835
4852900	0.03304
4877500	0.035778
4902100	0.043744
4926700	0.066483
4951300	0.096047
4975900	0.12241
5000500	0.10955
5013370	0.09693476
5020000	0.0931002
5030000	0.0857657
5040000	0.0827002
5050000	0.082422
5060000	0.084054
5070000	0.087088
5080000	0.091213
5090000	0.096223
5100000	0.10196
5110000	0.10828
5119310	0.1145736
5120000	0.11504
5130000	0.12206
5140000	0.12913
5150000	0.13604
5160000	0.14253
5170000	0.148354
5180000	0.153244
5190000	0.157016
5200000	0.15957
5210000	0.1607953
5220000	0.1607502
5230000	0.1595743
5240000	0.157376
5250000	0.154411
5260000	0.15089
5270000	0.147049
5280000	0.14312
5290000	0.13941
5300000	0.13658
5310000	0.13775
5320000	0.1747
5330000	0.18337
5340000	0.145349
5350000	0.136149
5360000	0.13307
5370000	0.13252
5380000	0.13366
5390000	0.1362506
5400000	0.1401198
5410000	0.1451202
5420000	0.15094
5430000	0.1569799
5440000	0.1624
5450000	0.1662399
5460000	0.16769
5470000	0.1664594
5480000	0.1628402
5490000	0.1576401
5500000	0.1516999
5510000	0.1457796
5520000	0.1403602
5530000	0.1356796
5540000	0.1318695
5550000	0.1288898
5560000	0.1266996
5570000	0.1252098
5580000	0.1243807
5590000	0.1241096
5600000	0.1241746
5610000	0.1243644
5620000	0.1246846
5630000	0.1251372
5640000	0.1257057
5650000	0.1264086
