#N          DATA        ERR-S       
#MEV         MB          MB          
2.9672      4.8109e+00  3.7403e-02  
2.9672      4.8964e+00  3.7742e-02  
2.9732      3.3408e+00  3.1169e-02  
2.9732      3.4666e+00  3.1757e-02  
2.9792      2.4970e+00  2.6954e-02  
2.9792      2.5581e+00  2.7277e-02  
2.9852      1.5782e+00  2.1434e-02  
2.9912      9.2366e-01  1.6404e-02  
2.9971      7.4103e-01  1.4707e-02  
2.9971      7.7734e-01  1.5060e-02  
3.0032      7.1907e-01  1.4480e-02  
3.0092      7.2303e-01  1.4522e-02  
3.0122      9.0805e-01  1.6273e-02  
3.0137      1.0837e+00  1.7777e-02  
3.0152      1.5844e+00  2.1490e-02  
3.0167      2.3553e+00  2.6202e-02  
3.0182      3.5284e+00  3.2074e-02  
3.0197      3.5352e+00  3.2107e-02  
3.0212      2.4587e+00  2.6777e-02  
3.0227      1.4849e+00  2.0813e-02  
3.0242      1.1565e+00  1.8372e-02  
3.0257      1.0232e+00  1.7284e-02  
3.0272      9.9947e-01  1.7088e-02  
3.0302      1.2296e+00  1.8950e-02  
3.0332      1.7976e+00  2.2909e-02  
3.0347      1.8004e+00  2.2939e-02  
3.0347      1.8368e+00  2.3166e-02  
3.0362      1.5290e+00  2.1134e-02  
3.0393      1.2133e+00  1.8842e-02  
3.0453      9.1651e-01  1.6385e-02  
3.0513      6.8445e-01  1.4168e-02  
3.0574      5.7110e-01  1.2950e-02  
3.0635      5.4835e-01  1.2696e-02  
3.0695      7.4389e-01  1.4778e-02  
3.0756      1.2393e+00  1.9061e-02  
3.0786      1.3851e+00  2.0146e-02  
3.0817      1.2614e+00  1.9229e-02  
3.0877      9.4737e-01  1.6674e-02  
3.0938      7.7071e-01  1.5065e-02  
3.0938      7.9751e-01  1.5310e-02  
3.0999      7.6726e-01  1.5018e-02  
